date,review,ticker,company,clean_text,counterfactual_text,fin_orig,fin_cf,vader_orig,vader_cf
2022-06-16 16:03:07,"$TSLA setting up for a pull back to 600 by next week if it can't defend 644

$AAPL failing at 132 support so far.. if it closes at the lows 125 should come by next Tuesday

$SPX to 3588 should come next, SPX can drop to 3350-3400 this summer",TSLA,"Tesla, Inc.","tsla setting up for a pull back to  by next week if it cant defend 

aapl failing at  support so far if it closes at the lows  should come by next tuesday

spx to  should come next spx can drop to  this summer","tsla setting down for a pull back to  by next week if it cant defend 

aapl failing at  support so far if it closes at the lows  should come by next tuesday

spx to  should come next spx can drop to  this summer",-1,-1,0.3616,0.3616
2022-03-19 13:00:03,"The Goro mine in New Caledonia - the tiny island in the Pacific - may be blessed with 25% of the worlds known nickel deposits. 

Tesla has secured 42,000 tonnes of nickel from here, or 95% of its total planned output!

Would be awesome if $TSLA could buy an equity stake in Goro. https://t.co/qpXWRyDtAQ",TSLA,"Tesla, Inc.","the goro mine in new caledonia  the tiny island in the pacific  may be blessed with  of the worlds known nickel deposits 

tesla has secured  tonnes of nickel from here or  of its total planned output

would be awesome if tsla could buy an equity stake in goro","the goro mine in new caledonia  the tiny island in the pacific  may be blessed with  of the worlds known nickel deposits 

tesla has secured  tonnes of nickel from here or  of its total planned output

would be awesome if tsla could sell an equity stake in goro",1,1,0.8934,0.8934
2022-04-28 14:58:40,@squawksquare @elonmusk I know - not knocking you.  Just annoyed by the shorts exploiting the absence of comms from $TSLA IR and no sell side research since they are all in this deal.,TSLA,"Tesla, Inc.",i know  not knocking you  just annoyed by the shorts exploiting the absence of comms from tsla ir and no sell side research since they are all in this deal,i know  not knocking you  just annoyed by the shorts exploiting the absence of comms from tsla ir and no buy side research since they are all in this deal,-1,-1,-0.7717,-0.7717
2022-07-30 03:33:33,"🧵
1/7
Why would ARK sell $TSLA to buy $ROKU?
My first reaction was disbelief.  We are finally back on track for at least two, if not more, good $TSLA quarters. ATH are in sight. I shared that I am considering going back into margin, a big step for a chicken like me.
Then ...",TSLA,"Tesla, Inc.","why would ark sell tsla to buy roku
my first reaction was disbelief  we are finally back on track for at least two if not more good tsla quarters ath are in sight i shared that i am considering going back into margin a big step for a chicken like me
then","why would ark buy tsla to buy roku
my first reaction was disbelief  we are finally back on track for at least two if not more good tsla quarters ath are in sight i shared that i am considering going back into margin a big step for a chicken like me
then",1,1,0.3132,0.3132
2022-03-09 20:26:11,"It is funny watching $TSLA sometimes. When markets are down almost 4%, Tesla could lose 7-8%. When they're up 4%, hard to get just over 4%. Always the slow escalator up and the elevator cord cut on way down. But it has help up well in terrible market past week. I'm impressed.",TSLA,"Tesla, Inc.",it is funny watching tsla sometimes when markets are down almost  tesla could lose  when theyre up  hard to get just over  always the slow escalator up and the elevator cord cut on way down but it has help up well in terrible market past week im impressed,it is funny watching tsla sometimes when markets are up almost  tesla could lose  when theyre up  hard to get just over  always the slow escalator up and the elevator cord cut on way up but it has help up well in terrible market past week im impressed,-1,0,0.689,0.689
2022-04-26 17:02:45,IMHO $TSLA falling on trader /shorts speculation fueled by the media that Elon will have to sell some TSLA shares to come up with $21B equity for $TWTR deal since he gave no detail on how he would raise the $21B in his revised 13D filing last night. Doesn’t make it true. https://t.co/U6wWHCCr46,TSLA,"Tesla, Inc.",imho tsla falling on trader shorts speculation fueled by the media that elon will have to sell some tsla shares to come up with b equity for twtr deal since he gave no detail on how he would raise the b in his revised d filing last night doesnt make it true,imho tsla falling on trader shorts speculation fueled by the media that elon will have to buy some tsla shares to come down with b equity for twtr deal since he gave no detail on how he would raise the b in his revised d filing last night doesnt make it true,-1,-1,-0.4464,-0.4464
2021-11-18 22:25:22,"@SawyerMerritt Exactly right. Buy $TSLA because of strong fundamentals, positive earnings revisions, the end of Elon selling shares, EV credit, a doubling of capacity.  If $TSLA splits it’s a bonus but not a reason to own.  No change to $1,400 PT.",TSLA,"Tesla, Inc.",exactly right buy tsla because of strong fundamentals positive earnings revisions the end of elon selling shares ev credit a doubling of capacity  if tsla splits its a bonus but not a reason to own  no change to  pt,exactly right sell tsla because of strong fundamentals negative earnings revisions the end of elon selling shares ev credit a doubling of capacity  if tsla splits its a bonus but not a reason to own  no change to  pt,1,0,0.6486,0.1655
2022-02-18 16:18:33,"BREAKING: complaints to NHTSA about $TSLA FCW / phantom braking have skyrocketed halfway through February.  On pace for &gt;750 this month, up ~1000% MoM.  Rest of industry on track for ~70 despite 95% market share.

@elonmusk surely customer service sees an uptick in complaints? https://t.co/dni8zpjG1Y",TSLA,"Tesla, Inc.","breaking complaints to nhtsa about tsla fcw  phantom braking have skyrocketed halfway through february  on pace for gt this month up  mom  rest of industry on track for  despite  market share

 surely customer service sees an uptick in complaints","breaking complaints to nhtsa about tsla fcw  phantom braking have skyrocketed halfway through february  on pace for gt this month down  mom  rest of industry on track for  despite  market share

 surely customer service sees an uptick in complaints",-1,-1,-0.7646,-0.7646
2021-10-26 01:44:17,"It would be a positive headline though and a sign of company strength, so in that respect it could boost the stock price. Maybe @garyblack00 could explain potential $TSLA DJIA inclusion more clearly lol.",TSLA,"Tesla, Inc.",it would be a positive headline though and a sign of company strength so in that respect it could boost the stock price maybe  could explain potential tsla djia inclusion more clearly lol,it would be a negative headline though and a sign of company strength so in that respect it could boost the stock price maybe  could explain potential tsla djia inclusion more clearly lol,1,1,0.958,0.8918
2021-11-10 08:38:09,"I feel this drop in $TSLA is different to that in february.

This time $TSLA was undervalued at the top, more the price drops the more that is true.

$TSLA is in the middle of transitioning from only a few understanding, to the numbers they put up, making it bleedingly obvious.",TSLA,"Tesla, Inc.","i feel this drop in tsla is different to that in february

this time tsla was undervalued at the top more the price drops the more that is true

tsla is in the middle of transitioning from only a few understanding to the numbers they put up making it bleedingly obvious","i feel this drop in tsla is different to that in february

this time tsla was undervalued at the top more the price drops the more that is true

tsla is in the middle of transitioning from only a few understanding to the numbers they put down making it bleedingly obvious",-1,-1,0.4144,0.4144
2022-09-23 21:05:04,"Have a good weekend everyone! I sure hope next week is a bit better and the news is all soaked in while people realize that if they don't buy now, they'll miss out on the next 15% move higher. $TSLA https://t.co/MNw676Zccz",TSLA,"Tesla, Inc.",have a good weekend everyone i sure hope next week is a bit better and the news is all soaked in while people realize that if they dont buy now theyll miss out on the next  move higher tsla,have a good weekend everyone i sure hope next week is a bit better and the news is all soaked in while people realize that if they dont sell now theyll miss out on the next  move higher tsla,1,1,0.8555,0.8555
